GoogleMapLink,Name,Rating,Price,Type,Address,Thumbnail
https://www.google.com/maps/place/166%E5%A5%BD%E9%A3%9F%E5%BB%9A%E6%88%BF/data=!4m7!3m6!1s0x346e7b433ecf7085:0x312ebd292996b576!8m2!3d23.0762456!4d120.2795163!16s%2Fg%2F11t_t74gnw!19sChIJhXDPPkN7bjQRdrWWKSm9LjE?authuser=0&hl=zh-TW&rclk=1,166好食廚房,4.8,$200-400,食堂與定食餐廳,社內166號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz9xun3kx9QUhFBav48TTfKjica7Pg3ARrYPBBupc1MSeK3R-3RxQ5cSPmWcp7FZas6bKSaOvIxOsWWHBh3CTOwyzGjH5icv62e2FlB6T7eR8Vtt8s11elGE_0vAYeOmlZKFnOx=w122-h92-k-no
https://www.google.com/maps/place/No+Defect+%E5%90%BE%E5%91%B7%E8%9B%8B%E9%A4%85%E5%B0%88%E9%96%80%E5%BA%97/data=!4m7!3m6!1s0x346e7b0402e135b1:0x62585ccadda8f5db!8m2!3d23.0766391!4d120.2806151!16s%2Fg%2F11vk7c0bds!19sChIJsTXhAgR7bjQR2_Wo3cpcWGI?authuser=0&hl=zh-TW&rclk=1,No Defect 吾呷蛋餅專門店,4.9,$1-200,早餐,社內148號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxzvrQHchvV6892SySLl89wUNkRYTXyogwiGpnO_aTg7O-RB5FcAw3y6rdQV_ti2sM1iMBQcFoziwMVRjuEri7QMMk2xILkFh6i85V2bf7Vbs98gF1jj_XmFaXvqD8D9OB_5F8=w80-h106-k-no
https://www.google.com/maps/place/%E7%A7%81%E7%83%A4%E4%B8%80%E4%BA%BA%E7%87%92%E8%82%89-%E6%96%B0%E5%B8%82%E5%BA%97+-+%E5%8F%B0%E5%8D%97+%E6%96%B0%E5%B8%82+%E6%97%A5%E5%BC%8F%E7%87%92%E8%82%89%E6%8E%A8%E8%96%A6+%E5%B9%B3%E5%83%B9%E7%87%92%E8%82%89%E9%A6%96%E9%81%B8+%E5%80%8B%E4%BA%BA%E7%87%92%E8%82%89%E5%A5%BD%E8%A9%95+%E7%B6%B2%E5%8F%8B%E6%8E%A8%E8%96%A6%E9%AB%98CP%E5%80%BC+%E5%85%8D%E6%94%B6%E6%9C%8D%E5%8B%99%E8%B2%BB+%E5%BF%85%E5%90%83%E7%87%92%E8%82%89%E5%A5%97%E9%A4%90+%E7%86%B1%E9%96%80%E5%B0%8F%E9%85%8C%E7%94%9F%E5%95%A4%E9%85%92+%E4%BA%BA%E6%B0%A3+%E6%9C%8B%E5%8F%8B%E8%81%9A%E9%A4%90+%E8%A9%95%E5%83%B9+%E7%87%92%E7%83%A4%E7%BE%8E%E9%A3%9F+%E5%A5%BD%E5%90%83%E6%96%B0%E5%B8%82%E5%AE%B5%E5%A4%9C/data=!4m7!3m6!1s0x346e7b6ef211d527:0x6d99468e3d956fe3!8m2!3d23.0806484!4d120.2863225!16s%2Fg%2F11y3mw_pgz!19sChIJJ9UR8m57bjQR42-VPY5GmW0?authuser=0&hl=zh-TW&rclk=1,私烤一人燒肉-新市店 - 台南 新市 日式燒肉推薦 平價燒肉首選 個人燒肉好評 網友推薦高CP值 免收服務費 必吃燒肉套餐 熱門小酌生啤酒 人氣 朋友聚餐 評價 燒烤美食 好吃新市宵夜,4.5,$400-600,日式燒肉,富安路607號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw45gELTLb5LenDRbcJ9UdawKTNlGYjX-gvxij8DVLT87xluiPZ5Cp9LxBXZ4Er8YsL3qkDb1bASTu7tvOVLpBDu_cvq9sh1kMK82t3P4G6CuTUbg-vCIvTyTDKZSdtMq20uqvI=w122-h92-k-no
https://www.google.com/maps/place/%E8%92%94%E6%9F%92%E9%90%B5%E6%9D%BF%E7%87%92%EF%BC%88%E4%B8%8D%E6%8E%A5%E5%8F%97AutoReserve%E8%A8%82%E4%BD%8D%EF%BC%8C%E9%9C%80%E8%A8%82%E4%BD%8D%E8%AB%8B%E7%A7%81%E8%A8%8Afb%2FIG%29/data=!4m7!3m6!1s0x346e7b08c86af057:0xed06ee0bb1883859!8m2!3d23.0740985!4d120.289289!16s%2Fg%2F11khdygl_h!19sChIJV_BqyAh7bjQRWTiIsQvuBu0?authuser=0&hl=zh-TW&rclk=1,蒔柒鐵板燒（不接受AutoReserve訂位，需訂位請私訊fb/IG),4.8,"$1,000-1,200",鐵板燒,銘傳街101號1樓,https://lh3.googleusercontent.com/p/AF1QipOFpeIkpCqDBPbyFy86XbB-LgJIH_w6GyIhlckP=w80-h106-k-no
https://www.google.com/maps/place/%E4%BA%94%E9%AE%AE%E7%B4%9A%E9%8D%8B%E7%89%A9%E5%B0%88%E8%B3%A3+%E5%8F%B0%E5%8D%97%E6%96%B0%E5%B8%82%E5%BA%97/data=!4m7!3m6!1s0x346e7b7e3b5bbe6b:0xc28f4bf7310ab8fa!8m2!3d23.0794122!4d120.2889744!16s%2Fg%2F11jmgpcw7n!19sChIJa75bO357bjQR-rgKMfdLj8I?authuser=0&hl=zh-TW&rclk=1,五鮮級鍋物專賣 台南新市店,4.6,$200-400,火鍋,·,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz_70poGbCx6Kc0GhRVTBl5uFop0ryedSnn_MnmGTmvG2gm6dpGoOQ-3SKVj4X2UdDGX5Tmr1Wso1gs3Wi57VBqOyFsyYIwNVQbpNuxbOf-kWwm2Ljpz9scFE0kIRxW6FG3HsjC=w163-h92-k-no
https://www.google.com/maps/place/%E7%A4%BE%E5%85%A7%E6%97%A9%E9%A4%90%E5%BA%97/data=!4m7!3m6!1s0x346e7b9717edb7cf:0x35d57d74f6933918!8m2!3d23.0755852!4d120.2805109!16s%2Fg%2F11k53rttv7!19sChIJz7ftF5d7bjQRGDmT9nR91TU?authuser=0&hl=zh-TW&rclk=1,社內早餐店,5,,早餐,社內產業道路136號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxidZBnSQaunIG6tpcqFiP-9CT-mhzSVDxoNDqW3kWXXdWZqqRcYgjNzVAJeh8IFC369vYKgZPp9wW6fn5XtBe4xHosm6EppQ430aatIHaJFAMa7Jyzb1y7CcyGy9blTkibsAVI=w92-h92-k-no
https://www.google.com/maps/place/KALUWA%E6%B3%B0%E5%BC%8F%E9%9F%B3%E6%A8%82%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x346e7a5a4f16c3df:0xff4ab39e291211c6!8m2!3d23.0778241!4d120.2898334!16s%2Fg%2F1v8g8s9m!19sChIJ38MWT1p6bjQRxhESKZ6zSv8?authuser=0&hl=zh-TW&rclk=1,KALUWA泰式音樂餐廳,4.3,$400-600,泰國菜,·,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSye3YfjDvnoKQQlx1Qys9Vl4IBRvaxPFieU8yeKs1KlmJFL0XWLmaiTRuRD7olDaMdM5AwHHmgEqN1lW6YnuX-kDKqZvLvms4tJ987nHJp7nUDvk52wzEQ42w9zyKqFJDa18MWMFA=w122-h92-k-no
https://www.google.com/maps/place/%E6%97%A5%E6%97%A5%E5%A4%9C%E5%AE%B5%28%E6%96%B0%E5%B8%82%E5%8D%97%E7%A7%91%E5%BA%97%29%2F%E6%97%A9%E4%B8%8A%E4%B8%AD%E5%8D%88%E6%8E%A5%E5%8F%97%E5%89%8D%E4%B8%80%E5%A4%A9%E9%A0%90%E8%A8%82%E5%96%AE/data=!4m7!3m6!1s0x346e7befc9e36e6d:0xc16678083b9e23c2!8m2!3d23.0785301!4d120.2919051!16s%2Fg%2F11xknh6ws_!19sChIJbW7jye97bjQRwiOeOwh4ZsE?authuser=0&hl=zh-TW&rclk=1,日日夜宵(新市南科店)/早上中午接受前一天預訂單,4.6,$1-200,餐廳,中正路237-7-1號,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFExmxjEvCLM4VAMf9NtqAz9Xn_5tamO4w_Ct5gDfmSuTM4C6XzFhnHQ1cxHT8mboF3iVuFKew_5SMqUU3SFPI-EJH8NfDzQ3cdMvgT13MMruSY4Eii5-RnLQ7klMqUu0oVvUyG0sRoBH0WFiSuc9OZW9hUVczTEPb_K6tcbd2DhLmZdmYb8Aw7Cg=w125-h92-k-no
https://www.google.com/maps/place/%E5%8F%A4%E6%97%A9%E5%91%B3%E9%A4%90%E9%A3%B2%E5%BA%97/data=!4m7!3m6!1s0x346e7a59ea24a181:0xcbca0ea54668da94!8m2!3d23.0781957!4d120.2929953!16s%2Fg%2F11dxlcf4wm!19sChIJgaEk6ll6bjQRlNpoRqUOyss?authuser=0&hl=zh-TW&rclk=1,古早味餐飲店,4.2,$1-200,餐廳,中興街102號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzE7edQHo1dniCf0Q2YF-yJjmHX-P61qN5t1_WKdo6K794r8D2AzqJl86wALYVrEW_GZnnfBqyRG2lkinmmbIPuzZq-hoJYAXrVIsv7UYJZ6w4PjqcZOiSW6YqGoUFUSlFOK3Hw=w122-h92-k-no
https://www.google.com/maps/place/%E9%87%91%E8%8A%B1%E9%BB%9E%E5%BF%83%E6%94%A4%E6%96%B0%E5%B8%82%E5%BA%97/data=!4m7!3m6!1s0x346e7a45450658f9:0xb299f85ec89ab15d!8m2!3d23.0792917!4d120.2849907!16s%2Fg%2F11c329w7zg!19sChIJ-VgGRUV6bjQRXbGayF74mbI?authuser=0&hl=zh-TW&rclk=1,金花點心攤新市店,4.5,$1-200,餐廳,富安一街59號,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx0DVCK_XywL0uEd4jlKvYGYpO-F62J_FjjrzpdEbISd0NsC5Wh_7EwFgmRJjSl7J96oLHFcx_ZgBM9JITJ8pp6urIZUOTwqUtcxEpdQed1MQ67B0MEpl90yDPcSPC9vIjwt6dR=w127-h92-k-no
